epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
1,0.0001,0.169,0.0555,0.695,61.94643187522888,True
2,0.0001,0.122,0.0415,0.512,67.7903356552124,True
3,0.0001,0.109,0.0379,0.472,69.98261618614197,True
4,0.0001,0.0988,0.0353,0.451,70.26514506340027,True
5,0.0001,0.0913,0.0333,0.433,70.27734422683716,True
6,0.0001,0.0857,0.0318,0.413,70.49979710578918,True
7,0.0001,0.0797,0.0298,0.39,70.55025386810303,True
8,0.0001,0.0754,0.0284,0.368,70.62106537818909,True
9,9.99e-05,0.0702,0.0266,0.34,70.41147875785828,True
10,9.99e-05,0.0647,0.0245,0.313,70.26382684707642,True
11,9.99e-05,0.0614,0.0233,0.292,70.31544423103333,True
12,9.99e-05,0.0584,0.0222,0.274,70.04779267311096,True
13,9.99e-05,0.0557,0.0213,0.26,69.88850665092468,True
14,9.98e-05,0.0538,0.0206,0.248,70.53694891929626,True
15,9.98e-05,0.0524,0.0201,0.241,70.64088678359985,True
16,9.98e-05,0.0508,0.0195,0.23,70.01800465583801,True
17,9.98e-05,0.0497,0.0191,0.223,70.57646059989929,True
18,9.97e-05,0.0487,0.0187,0.215,70.795654296875,True
19,9.97e-05,0.0475,0.0182,0.207,70.54641938209534,True
20,9.96e-05,0.0465,0.0178,0.201,70.67746019363403,True
21,9.96e-05,0.0458,0.0176,0.195,70.63815593719482,True
22,9.96e-05,0.0444,0.017,0.187,70.34518003463745,True
23,9.95e-05,0.0444,0.0171,0.186,70.26694941520691,False
24,9.95e-05,0.0434,0.0168,0.182,70.35391879081726,True
25,9.94e-05,0.043,0.0167,0.178,70.33295035362244,True
26,9.94e-05,0.0422,0.0163,0.175,70.65532350540161,True
27,9.93e-05,0.0423,0.0165,0.175,70.2519896030426,False
28,9.93e-05,0.0413,0.0161,0.17,70.30870008468628,True
29,9.92e-05,0.0402,0.0156,0.165,70.14140033721924,True
30,9.92e-05,0.0405,0.0159,0.165,70.50756931304932,False
31,9.91e-05,0.0399,0.0157,0.162,70.13604927062988,True
32,9.91e-05,0.0394,0.0154,0.159,69.97106552124023,True
33,9.9e-05,0.0388,0.0153,0.156,70.59439086914062,True
34,9.89e-05,0.0388,0.0153,0.155,70.57920837402344,False
35,9.89e-05,0.0381,0.0151,0.154,70.76144123077393,True
36,9.88e-05,0.0385,0.0153,0.155,69.98766136169434,False
37,9.87e-05,0.0377,0.015,0.152,70.08173704147339,True
38,9.87e-05,0.037,0.0147,0.147,70.41680860519409,True
39,9.86e-05,0.0368,0.0147,0.149,70.21554493904114,True
40,9.85e-05,0.0368,0.0147,0.146,70.23371648788452,False
41,9.84e-05,0.0365,0.0146,0.146,70.60281205177307,True
42,9.84e-05,0.0363,0.0145,0.144,70.35523390769958,True
43,9.83e-05,0.0362,0.0145,0.145,69.9900872707367,True
44,9.82e-05,0.0359,0.0144,0.143,70.62472939491272,True
