phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,1,200,200,0.0001,0.252,0.0846,0.85,13.729268789291382,200,13.729268789291382
1,2,200,200,0.0001,0.173,0.0536,0.807,13.205526351928711,400,26.934795141220093
1,3,200,200,0.0001,0.152,0.0497,0.677,13.542546510696411,600,40.477341651916504
1,4,200,200,0.0001,0.14,0.0465,0.594,14.166183710098267,800,54.64352536201477
1,5,200,200,0.0001,0.133,0.0443,0.558,15.19195032119751,1000,69.83547568321228
1,6,200,200,0.0001,0.128,0.0431,0.535,15.081712245941162,1200,84.91718792915344
1,7,200,200,0.0001,0.123,0.0416,0.517,14.127081632614136,1400,99.04426956176758
1,8,200,200,0.0001,0.122,0.0414,0.509,13.851423263549805,1600,112.89569282531738
1,9,200,200,0.0001,0.117,0.0398,0.495,13.910935401916504,1800,126.80662822723389
1,10,200,200,0.0001,0.115,0.0394,0.49,14.322994947433472,2000,141.12962317466736
1,11,200,200,0.0001,0.112,0.0388,0.483,14.605579614639282,2200,155.73520278930664
1,12,200,200,0.0001,0.11,0.0383,0.472,14.48212480545044,2400,170.21732759475708
1,13,200,200,9.99e-05,0.108,0.0377,0.47,14.27562427520752,2600,184.4929518699646
1,14,200,200,9.99e-05,0.107,0.0373,0.471,14.124555826187134,2800,198.61750769615173
1,15,200,200,9.99e-05,0.105,0.0369,0.467,14.17975640296936,3000,212.7972640991211
1,16,200,200,9.99e-05,0.103,0.0363,0.457,14.282381534576416,3200,227.0796456336975
1,17,200,200,9.99e-05,0.101,0.0358,0.452,14.393621683120728,3400,241.47326731681824
1,18,200,200,9.99e-05,0.0991,0.0353,0.455,14.430817127227783,3600,255.90408444404602
1,19,200,200,9.99e-05,0.0974,0.0348,0.446,14.299531698226929,3800,270.20361614227295
1,20,200,200,9.99e-05,0.0952,0.0345,0.444,14.2208411693573,4000,284.42445731163025
1,21,200,200,9.98e-05,0.0945,0.034,0.44,14.267950773239136,4200,298.6924080848694
1,22,200,200,9.98e-05,0.0922,0.0335,0.436,14.339197158813477,4400,313.03160524368286
1,23,200,200,9.98e-05,0.0899,0.0328,0.429,14.339832544326782,4600,327.37143778800964
1,24,200,200,9.98e-05,0.0903,0.033,0.43,14.425710678100586,4800,341.79714846611023
